,InfoPublYear,InfoPublMon,0,1,2,3,4,5,6,7,8,9
206,2011,10,0.65289104,0.699013948,-1.537272096,-0.831213951,-0.900614679,-0.036593083,0.729150474,0.069050163,-1.365578055,-0.265532166
207,2011,11,0.769217491,0.569110096,-1.4727422,-1.316123128,-0.636655807,-0.156610593,0.579992056,-0.25892368,-1.356096029,-0.362145603
208,2011,12,0.768049121,0.722062349,-1.509440899,-1.074545383,-0.427189171,-0.039472762,0.667984605,-0.124218449,-1.303168535,-0.318446666
209,2012,1,0.963157952,0.611824155,-1.430589914,-1.601506591,-0.684238076,-0.104582846,0.570443332,0.140495211,-1.078076124,-0.582827032
210,2012,2,0.699929237,0.659439743,-1.492295027,-1.114714503,-0.658307493,0.025640139,0.78335619,0.225381732,-1.41491127,-0.348714978
211,2012,3,0.78686744,0.513304174,-1.53255105,-1.08316803,-0.63391614,0.171859056,0.746648133,-0.094131336,-1.164822817,-0.429330766
212,2012,4,0.755747795,0.589130223,-1.469366074,-0.818924189,-0.458280832,0.129198968,0.997983456,-0.146896437,-1.536000371,-0.248365641
213,2012,5,0.693142951,0.382139146,-1.429320097,-1.282910228,-0.357908636,0.095250487,0.983371437,0.264461994,-1.322837353,-0.250326484
214,2012,6,0.764261127,0.486941665,-1.380491853,-1.128361464,-0.549883008,-0.065652862,0.848048031,0.07325618,-1.686982274,-0.299339145
215,2012,7,0.592368603,0.537646592,-1.498772264,-1.212066531,-0.647763908,0.163238794,0.864430547,0.131054834,-1.487427115,0.004562159
216,2012,8,0.639708817,0.505875587,-1.366007447,-1.079020023,-0.44465366,0.041936923,0.883971989,-0.001551436,-1.553733587,-0.098070778
217,2012,9,0.663204908,0.335572809,-1.454833031,-1.179623723,-0.474512666,0.074326158,0.930268884,-0.027433746,-1.482992053,-0.081807397
218,2012,10,0.744913459,0.660459042,-1.245718002,-1.125123382,-0.460401833,-0.102747768,0.842266858,-0.172409058,-1.697584033,-0.195146501
219,2012,11,0.650779784,0.506419837,-1.137419462,-1.040828466,-0.752880871,0.06182722,0.804756761,-0.071145751,-1.863869309,0.101594597
220,2012,12,0.685282946,0.595651984,-1.464126706,-0.995570958,-0.538812697,0.073152214,0.814898312,0.002082423,-1.725159287,-0.205058083
221,2013,1,0.744293094,0.840762973,-1.338262081,-1.360325217,-0.308660537,0.013068515,0.665220678,-0.14624688,-1.380252957,-0.21058616
